Period,ticker,annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2009-01-01_2011-01-01,CDP,-17.1097,25.9251,-0.6983,-0.4903,-43.5005
2010-01-01_2012-01-01,CDP,9.3196,20.0065,0.3873,0.3976,-14.5117
2011-01-01_2013-01-01,CDP,6.6318,18.1268,0.2725,0.2832,-15.7828
2012-01-01_2014-01-01,CDP,1.636,11.7348,-0.0616,-0.0525,-14.5551
2013-01-01_2015-01-01,CDP,4.7269,11.8294,0.1893,0.1846,-9.0843
2014-01-01_2016-01-01,CDP,8.7927,12.0715,0.4989,0.5711,-8.6574
2015-01-01_2017-01-01,CDP,4.7331,11.7948,0.1901,0.187,-19.5516
2016-01-01_2018-01-01,CDP,-3.2976,9.5185,-0.6157,-0.4727,-20.5719
2017-01-01_2019-01-01,CDP,11.6408,12.1475,0.7064,0.7833,-12.8793
2018-01-01_2020-01-01,CDP,4.5039,11.7066,0.172,0.1882,-12.8791
2019-01-01_2021-01-01,CDP,-8.8907,22.9095,-0.4203,-0.3707,-42.0548
2020-01-01_2022-01-01,CDP,-4.1683,23.8421,-0.1859,-0.1664,-45.1192
2021-01-01_2023-01-01,CDP,4.9815,14.5894,0.1944,0.2113,-11.1494
2022-01-01_2024-01-01,CDP,0.7086,15.2684,-0.076,-0.0823,-20.4331
Average,CDP,-2.3797,17.6616,-0.1533,-0.0872,-26.5902
2004-01-01_2006-01-01,CW,1.1298,16.7222,-0.0315,-0.0276,-18.4791
2005-01-01_2007-01-01,CW,-1.9772,15.1621,-0.2538,-0.2377,-17.1348
2006-01-01_2008-01-01,CW,-13.2978,14.1989,-1.1322,-1.0943,-37.3331
2007-01-01_2009-01-01,CW,-4.9694,25.9737,-0.1811,-0.1633,-31.7468
2008-01-01_2010-01-01,CW,8.9542,28.0996,0.3315,0.3371,-23.4905
2009-01-01_2011-01-01,CW,15.5716,20.1136,0.6582,0.7247,-16.0548
2010-01-01_2012-01-01,CW,0.0219,18.7767,-0.0664,-0.0607,-31.8078
2011-01-01_2013-01-01,CW,-10.7466,17.8578,-0.7078,-0.6554,-31.7555
2012-01-01_2014-01-01,CW,-4.577,13.0355,-0.5203,-0.4506,-21.9895
2013-01-01_2015-01-01,CW,-3.5186,12.9838,-0.4394,-0.3924,-19.8678
2014-01-01_2016-01-01,CW,0.6469,14.0289,-0.0996,-0.0977,-18.6989
2015-01-01_2017-01-01,CW,-1.9225,13.491,-0.2979,-0.2568,-14.9421
2016-01-01_2018-01-01,CW,0.2842,10.7939,-0.199,-0.1527,-9.3692
2017-01-01_2019-01-01,CW,9.1142,12.8043,0.5001,0.5477,-11.4311
2018-01-01_2020-01-01,CW,9.3487,13.8979,0.4864,0.5149,-11.4332
2019-01-01_2021-01-01,CW,2.9493,21.3638,0.0991,0.0829,-32.6864
2020-01-01_2022-01-01,CW,-6.7749,22.5713,-0.328,-0.2835,-44.2418
2021-01-01_2023-01-01,CW,-3.268,15.7146,-0.3221,-0.272,-23.4595
2022-01-01_2024-01-01,CW,3.1652,15.0825,0.0789,0.0705,-18.6911
Average,CW,0.0071,16.9827,-0.1276,-0.0983,-22.8744
2004-01-01_2006-01-01,PII,-3.4945,16.206,-0.3214,-0.2622,-19.5704
2005-01-01_2007-01-01,PII,5.4617,15.492,0.221,0.2288,-19.8567
2006-01-01_2008-01-01,PII,2.2755,14.8021,0.0198,0.0226,-28.2716
2007-01-01_2009-01-01,PII,5.5949,28.0229,0.2223,0.2007,-33.0053
2008-01-01_2010-01-01,PII,9.8422,32.0999,0.3529,0.3328,-30.3157
2009-01-01_2011-01-01,PII,-2.2517,23.2762,-0.1102,-0.0857,-31.9249
2010-01-01_2012-01-01,PII,-5.5443,19.702,-0.3408,-0.3114,-37.0153
2011-01-01_2013-01-01,PII,-18.04,19.4408,-1.0674,-1.0017,-50.186
2012-01-01_2014-01-01,PII,-15.726,14.1665,-1.3326,-1.1496,-39.9014
2013-01-01_2015-01-01,PII,-6.1858,12.1335,-0.7065,-0.6633,-21.3206
2014-01-01_2016-01-01,PII,4.6968,15.864,0.1737,0.194,-15.1462
2015-01-01_2017-01-01,PII,10.4346,19.1741,0.4481,0.4703,-19.8641
2016-01-01_2018-01-01,PII,-3.454,15.5581,-0.3388,-0.2841,-21.8741
2017-01-01_2019-01-01,PII,4.0034,15.8452,0.1319,0.1537,-19.8688
2018-01-01_2020-01-01,PII,4.0384,20.4802,0.1448,0.1414,-29.1854
2019-01-01_2021-01-01,PII,-3.2778,28.555,-0.0818,-0.0787,-31.8727
2020-01-01_2022-01-01,PII,-5.3595,27.4443,-0.1748,-0.169,-50.6893
2021-01-01_2023-01-01,PII,-5.6372,22.6541,-0.2738,-0.2787,-30.599
2022-01-01_2024-01-01,PII,-2.0672,22.1302,-0.1196,-0.1152,-30.5586
Average,PII,-1.2995,20.1604,-0.166,-0.1398,-29.5277
2004-01-01_2006-01-01,CAT,-2.7321,14.5086,-0.3244,-0.3333,-21.4859
2005-01-01_2007-01-01,CAT,-4.9653,14.7924,-0.47,-0.4655,-32.8574
2006-01-01_2008-01-01,CAT,-0.1429,13.4821,-0.1668,-0.159,-15.2362
2007-01-01_2009-01-01,CAT,4.6589,21.5256,0.1756,0.1536,-26.5621
2008-01-01_2010-01-01,CAT,5.5195,26.9623,0.2185,0.2001,-34.7154
2009-01-01_2011-01-01,CAT,-12.4253,21.9227,-0.6249,-0.5086,-43.6211
2010-01-01_2012-01-01,CAT,-7.1997,19.55,-0.4339,-0.3901,-32.3302
2011-01-01_2013-01-01,CAT,1.1819,19.2881,-0.0006,0.0016,-21.7095
2012-01-01_2014-01-01,CAT,5.371,13.1093,0.2292,0.2156,-14.6928
2013-01-01_2015-01-01,CAT,7.9787,10.3633,0.492,0.4586,-14.2972
2014-01-01_2016-01-01,CAT,4.6051,14.0319,0.1715,0.1648,-13.8844
2015-01-01_2017-01-01,CAT,-6.4864,15.1723,-0.5587,-0.4892,-24.8098
2016-01-01_2018-01-01,CAT,-16.2005,11.957,-1.6485,-1.1128,-39.01
2017-01-01_2019-01-01,CAT,-7.0449,15.1621,-0.5983,-0.5048,-26.0091
2018-01-01_2020-01-01,CAT,4.9781,16.6378,0.1895,0.1865,-20.6334
2019-01-01_2021-01-01,CAT,0.3005,19.6913,-0.0413,-0.0384,-34.9935
2020-01-01_2022-01-01,CAT,-9.0368,19.6471,-0.5322,-0.5473,-43.7302
2021-01-01_2023-01-01,CAT,3.726,16.3334,0.1172,0.1232,-16.1638
2022-01-01_2024-01-01,CAT,3.8389,17.4014,0.1267,0.1188,-24.0507
Average,CAT,-1.2671,16.9231,-0.1937,-0.154,-26.3575
2004-01-01_2006-01-01,NGS,-16.3283,34.5692,-0.4232,-0.2892,-65.0692
2005-01-01_2007-01-01,NGS,14.6254,35.9188,0.4686,0.3555,-39.024
2006-01-01_2008-01-01,NGS,-1.3078,25.542,-0.0412,-0.0324,-39.6617
2007-01-01_2009-01-01,NGS,-6.3476,38.4111,-0.0559,-0.045,-46.549
2008-01-01_2010-01-01,NGS,-7.9423,43.5067,-0.0406,-0.0326,-59.4533
2009-01-01_2011-01-01,NGS,-16.0896,30.7591,-0.5063,-0.3773,-45.0804
2010-01-01_2012-01-01,NGS,-1.9385,27.4557,-0.0438,-0.0361,-27.9511
2011-01-01_2013-01-01,NGS,-11.6348,26.4957,-0.4421,-0.3901,-52.2562
2012-01-01_2014-01-01,NGS,-19.8767,18.8487,-1.2242,-0.9935,-48.6033
2013-01-01_2015-01-01,NGS,-5.6086,17.4648,-0.4118,-0.3924,-29.2421
2014-01-01_2016-01-01,NGS,1.7273,23.4894,0.0598,0.0609,-20.9743
2015-01-01_2017-01-01,NGS,1.3296,25.9379,0.0624,0.0623,-20.9736
2016-01-01_2018-01-01,NGS,7.5361,21.7958,0.2986,0.2677,-17.2326
2017-01-01_2019-01-01,NGS,22.5597,19.6579,0.9647,1.0139,-12.2407
2018-01-01_2020-01-01,NGS,19.2162,21.7264,0.7666,0.8818,-19.613
2019-01-01_2021-01-01,NGS,8.0541,35.8431,0.309,0.2483,-53.9693
2020-01-01_2022-01-01,NGS,-2.3549,36.5323,0.0365,0.0298,-53.9564
2021-01-01_2023-01-01,NGS,7.5998,22.4185,0.2984,0.2995,-16.4423
2022-01-01_2024-01-01,NGS,0.5708,23.7919,0.0155,0.0152,-42.4597
Average,NGS,-0.3268,27.9034,0.0048,0.034,-37.408
2004-01-01_2006-01-01,CZFS,6.5108,11.4918,0.3368,0.2255,-12.4512
2005-01-01_2007-01-01,CZFS,-6.1475,15.9569,-0.5007,-0.298,-32.221
2006-01-01_2008-01-01,CZFS,-19.9584,19.0424,-1.215,-0.7635,-49.6491
2007-01-01_2009-01-01,CZFS,-19.2327,20.2935,-1.0832,-0.6368,-50.5132
2008-01-01_2010-01-01,CZFS,-25.0474,23.7103,-1.2066,-0.7127,-57.323
2009-01-01_2011-01-01,CZFS,-24.9025,23.2457,-1.2272,-0.7192,-55.8451
2010-01-01_2012-01-01,CZFS,-15.1128,15.5036,-1.1576,-0.6831,-38.5165
2011-01-01_2013-01-01,CZFS,-14.3984,13.3522,-1.3058,-0.7914,-41.84
2012-01-01_2014-01-01,CZFS,-12.4186,10.156,-1.5324,-0.9128,-33.9071
2013-01-01_2015-01-01,CZFS,-10.29,10.3262,-1.2765,-0.8018,-26.5927
2014-01-01_2016-01-01,CZFS,-9.6061,8.7651,-1.4349,-0.8228,-25.0631
2015-01-01_2017-01-01,CZFS,-8.1366,9.8482,-1.1054,-0.645,-27.0646
2016-01-01_2018-01-01,CZFS,-12.7192,9.4788,-1.6841,-0.9489,-33.6169
2017-01-01_2019-01-01,CZFS,-7.1553,7.1023,-1.4182,-0.8943,-29.6008
2018-01-01_2020-01-01,CZFS,-5.197,7.9416,-1.001,-0.5546,-16.9672
2019-01-01_2021-01-01,CZFS,5.7311,15.3132,0.2373,0.19,-16.4457
2020-01-01_2022-01-01,CZFS,4.9554,14.5696,0.1919,0.1711,-20.5178
2021-01-01_2023-01-01,CZFS,-0.4031,12.3375,-0.2153,-0.1665,-21.3693
2022-01-01_2024-01-01,CZFS,17.761,19.2341,0.7769,0.6604,-21.1961
Average,CZFS,-8.1983,14.0878,-0.8327,-0.4792,-32.1421
