Period,ticker,annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2008-01-01_2010-01-01,CAT,7.0022,23.1221,0.28,0.1947,-32.3015
2009-01-01_2011-01-01,CAT,9.4168,19.396,0.4077,0.2772,-21.4021
2010-01-01_2012-01-01,CAT,4.2789,13.9958,0.1576,0.1064,-18.697
2011-01-01_2013-01-01,CAT,-1.4293,13.5669,-0.2569,-0.207,-22.489
2012-01-01_2014-01-01,CAT,-3.6769,9.507,-0.658,-0.4912,-22.3374
2013-01-01_2015-01-01,CAT,-4.0746,7.1317,-0.9626,-0.6139,-13.4171
2014-01-01_2016-01-01,CAT,-2.5922,9.1632,-0.5638,-0.3798,-21.2674
2015-01-01_2017-01-01,CAT,3.1023,9.6867,0.0579,0.0466,-9.9077
2016-01-01_2018-01-01,CAT,3.9522,8.5271,0.1499,0.1092,-10.0971
2017-01-01_2019-01-01,CAT,-3.8483,10.9122,-0.576,-0.3503,-26.5202
2018-01-01_2020-01-01,CAT,-6.0611,12.5288,-0.6725,-0.4549,-25.8082
2019-01-01_2021-01-01,CAT,6.3559,14.0293,0.2984,0.2093,-12.5425
2020-01-01_2022-01-01,CAT,8.0771,13.4407,0.4249,0.2857,-11.2618
2021-01-01_2023-01-01,CAT,1.0111,12.0119,-0.1031,-0.084,-19.1747
2022-01-01_2024-01-01,CAT,4.3038,14.406,0.1582,0.1196,-19.1681
Average,CAT,2.7156,12.4777,-0.0129,-0.0065,-17.9679
2004-01-01_2006-01-01,SRL,4.4093,16.9878,0.1653,0.099,-19.5192
2005-01-01_2007-01-01,SRL,18.1119,15.2957,0.9709,0.6589,-12.6979
2006-01-01_2008-01-01,SRL,27.5389,17.6955,1.2942,1.2059,-8.7075
2007-01-01_2009-01-01,SRL,15.5945,26.0246,0.5747,0.3495,-34.3298
2008-01-01_2010-01-01,SRL,3.3683,27.5672,0.1522,0.0962,-34.3267
2009-01-01_2011-01-01,SRL,-7.1754,21.1784,-0.3842,-0.2313,-40.7908
2010-01-01_2012-01-01,SRL,-7.627,16.9644,-0.5556,-0.2982,-40.7902
2011-01-01_2013-01-01,SRL,8.4104,12.5432,0.4697,0.358,-14.9308
2012-01-01_2014-01-01,SRL,-2.1589,9.768,-0.4775,-0.3184,-20.4783
2013-01-01_2015-01-01,SRL,-6.0154,9.3184,-0.9364,-0.5744,-21.6435
2014-01-01_2016-01-01,SRL,-2.9159,18.1027,-0.2382,-0.183,-24.2163
2015-01-01_2017-01-01,SRL,1.9872,23.3789,0.0724,0.0555,-24.7707
2016-01-01_2018-01-01,SRL,8.7004,21.4505,0.3583,0.2207,-24.7716
2017-01-01_2019-01-01,SRL,1.1833,22.3681,0.0284,0.0192,-37.8216
2018-01-01_2020-01-01,SRL,22.1483,33.7029,0.6563,0.764,-30.1814
2019-01-01_2021-01-01,SRL,7.162,34.671,0.2737,0.2331,-46.6184
2020-01-01_2022-01-01,SRL,11.0174,32.6669,0.3859,0.2978,-33.8572
2021-01-01_2023-01-01,SRL,16.9163,27.189,0.5955,0.52,-32.5804
2022-01-01_2024-01-01,SRL,21.7181,31.071,0.6742,0.7963,-14.8966
Average,SRL,7.4933,21.9971,0.2147,0.2141,-27.2594
2004-01-01_2006-01-01,CZFS,-6.5836,8.2429,-1.1442,-0.6962,-23.1878
2005-01-01_2007-01-01,CZFS,-6.6103,10.1289,-0.9168,-0.5598,-20.3188
2006-01-01_2008-01-01,CZFS,-2.9212,10.2826,-0.5249,-0.3199,-16.7714
2007-01-01_2009-01-01,CZFS,-0.4138,12.3875,-0.211,-0.1366,-12.6756
2008-01-01_2010-01-01,CZFS,1.1583,20.7347,0.0158,0.0084,-17.3602
2009-01-01_2011-01-01,CZFS,2.4035,20.8027,0.0751,0.045,-17.3607
2010-01-01_2012-01-01,CZFS,4.2119,13.7194,0.1528,0.0954,-14.8267
2011-01-01_2013-01-01,CZFS,-0.532,10.2632,-0.2895,-0.1617,-19.8387
2012-01-01_2014-01-01,CZFS,-0.5173,8.6896,-0.3567,-0.178,-10.6319
2013-01-01_2015-01-01,CZFS,-3.175,8.8283,-0.6564,-0.332,-17.4209
2014-01-01_2016-01-01,CZFS,-1.2454,7.5699,-0.5189,-0.3048,-14.5879
2015-01-01_2017-01-01,CZFS,3.9703,8.3405,0.1531,0.1052,-5.2244
2016-01-01_2018-01-01,CZFS,4.5521,8.4723,0.2179,0.1366,-5.2243
2017-01-01_2019-01-01,CZFS,2.8034,6.8371,0.0055,-0.0002,-5.1005
2018-01-01_2020-01-01,CZFS,3.9324,8.8045,0.1457,0.0689,-7.2591
2019-01-01_2021-01-01,CZFS,8.8061,13.1859,0.4816,0.2465,-12.8203
2020-01-01_2022-01-01,CZFS,4.425,12.1496,0.1736,0.0916,-12.821
2021-01-01_2023-01-01,CZFS,-0.0834,12.5272,-0.1805,-0.1007,-10.8135
