Period,ticker,annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2018-01-01_2020-01-01,CW,0.6729,10.0572,-0.1771,-0.089,-14.734
2019-01-01_2021-01-01,CW,6.5233,19.3155,0.2719,0.0997,-24.2466
2020-01-01_2022-01-01,CW,13.1369,18.6764,0.5948,0.4185,-12.5297
2021-01-01_2023-01-01,CW,7.6589,9.0089,0.5357,0.2887,-8.1204
2022-01-01_2024-01-01,CW,11.7486,11.8474,0.747,0.5055,-10.7919
Average,CW,4.7448,12.8521,0.1736,0.1238,-15.685
2004-01-01_2006-01-01,PHX,-5.9246,24.9432,-0.2369,-0.1487,-32.5072
2005-01-01_2007-01-01,PHX,-2.819,8.2609,-0.6631,-0.2235,-17.8285
2006-01-01_2008-01-01,PHX,4.5373,8.2974,0.2186,0.1287,-8.1782
2007-01-01_2009-01-01,PHX,24.1767,29.4851,0.7713,0.3845,-32.1736
2008-01-01_2010-01-01,PHX,9.0476,45.9102,0.3494,0.2442,-59.1252
2009-01-01_2011-01-01,PHX,16.1819,23.3244,0.6303,0.2973,-20.178
2010-01-01_2012-01-01,PHX,-2.2305,14.4358,-0.2888,-0.1045,-19.3575
2011-01-01_2013-01-01,PHX,-6.5627,19.1129,-0.4143,-0.277,-18.2034
2012-01-01_2014-01-01,PHX,8.3221,10.5182,0.5311,0.3239,-9.2837
2013-01-01_2015-01-01,PHX,8.6536,10.8401,0.5468,0.2908,-8.4671
2014-01-01_2016-01-01,PHX,3.0759,3.1017,0.0377,0.0081,-1.4452
2015-01-01_2017-01-01,PHX,18.0676,22.9562,0.7089,0.5902,-16.2702
2016-01-01_2018-01-01,PHX,7.8726,18.517,0.3408,0.2071,-19.8489
2017-01-01_2019-01-01,PHX,1.8609,5.4945,-0.1757,-0.0568,-8.5006
2018-01-01_2020-01-01,PHX,-1.8144,12.4249,-0.3234,-0.2052,-23.5845
2019-01-01_2021-01-01,PHX,-32.1588,52.4959,-0.539,-0.6261,-80.9085
2020-01-01_2022-01-01,PHX,-32.3798,41.9743,-0.7907,-0.7115,-72.841
2021-01-01_2023-01-01,PHX,-8.2376,19.2667,-0.4946,-0.1375,-32.3229
2022-01-01_2024-01-01,PHX,-3.3111,8.9417,-0.6625,-0.1763,-16.5306
Average,PHX,0.3346,20.0158,-0.0239,-0.0101,-26.1871
2004-01-01_2006-01-01,CAT,3.0379,13.5407,0.071,0.0406,-14.5981
2005-01-01_2007-01-01,CAT,7.136,18.3356,0.3081,0.2521,-22.8393
2006-01-01_2008-01-01,CAT,0.0,0.0,0.0,0.0,-0.0
2007-01-01_2009-01-01,CAT,-8.8255,20.6271,-0.4886,-0.2793,-45.3205
2008-01-01_2010-01-01,CAT,-0.8089,28.016,0.0049,0.0026,-51.0002
2009-01-01_2011-01-01,CAT,11.2633,17.3503,0.5303,0.3923,-10.9314
2010-01-01_2012-01-01,CAT,-0.8911,10.5205,-0.314,-0.1343,-11.6082
2011-01-01_2013-01-01,CAT,4.7079,13.599,0.1888,0.1239,-20.9358
2012-01-01_2014-01-01,CAT,4.1428,8.4307,0.1725,0.0984,-15.158
2013-01-01_2015-01-01,CAT,6.8615,6.4621,0.6012,0.3426,-5.4613
2014-01-01_2016-01-01,CAT,-0.5172,11.4535,-0.2464,-0.1603,-16.952
2015-01-01_2017-01-01,CAT,5.2194,13.7062,0.2236,0.1848,-26.0311
2016-01-01_2018-01-01,CAT,7.4466,8.7584,0.5254,0.2463,-5.929
2017-01-01_2019-01-01,CAT,2.5056,5.6718,-0.0576,-0.0248,-6.2969
2018-01-01_2020-01-01,CAT,-0.3295,19.8697,-0.0661,-0.0694,-29.7825
2019-01-01_2021-01-01,CAT,9.3419,15.6894,0.4581,0.3171,-15.9153
