Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2010-01-01_2012-01-01,LM,1.719,0.594,21.744,-0.001,-0.001,-23.551
Average,LM,1.719,0.594,21.744,-0.001,-0.001,-23.551
2011-01-01_2013-01-01,MCK,19.003,6.207,11.166,0.329,0.527,-9.296
Average,MCK,19.003,6.207,11.166,0.329,0.527,-9.296
2016-01-01_2018-01-01,WY,-1.336,-0.467,11.915,-0.228,-0.295,-17.173
Average,WY,-1.336,-0.467,11.915,-0.228,-0.295,-17.173
2019-01-01_2021-01-01,CB,29.720,9.412,18.575,0.418,0.560,-24.934
Average,CB,29.720,9.412,18.575,0.418,0.560,-24.934
2010-01-01_2012-01-01,BXP,6.034,2.057,16.123,0.023,0.031,-16.973
Average,BXP,6.034,2.057,16.123,0.023,0.031,-16.973
2018-01-01_2020-01-01,BIIB,-52.545,-22.742,23.739,-1.076,-1.060,-54.538
Average,BIIB,-52.545,-22.742,23.739,-1.076,-1.060,-54.538
2009-01-01_2011-01-01,PCAR,10.698,3.581,20.586,0.130,0.184,-20.203
2011-01-01_2013-01-01,PCAR,-28.667,-11.036,15.890,-0.842,-1.046,-46.699
Average,PCAR,-8.985,-3.728,18.238,-0.356,-0.431,-33.451
2014-01-01_2016-01-01,FFIV,71.326,20.487,15.225,1.106,1.536,-11.928
Average,FFIV,71.326,20.487,15.225,1.106,1.536,-11.928
2020-01-01_2022-01-01,CFG,91.860,25.263,23.430,0.952,1.381,-24.140
Average,CFG,91.860,25.263,23.430,0.952,1.381,-24.140
2022-01-01_2024-01-01,DXCM,151.061,37.708,27.047,1.207,1.946,-12.257
Average,DXCM,151.061,37.708,27.047,1.207,1.946,-12.257
2012-01-01_2014-01-01,KMB,14.810,4.897,7.915,0.269,0.402,-8.532
Average,KMB,14.810,4.897,7.915,0.269,0.402,-8.532
2011-01-01_2013-01-01,MO,-5.441,-1.918,8.241,-0.553,-0.709,-10.331
Average,MO,-5.441,-1.918,8.241,-0.553,-0.709,-10.331
2010-01-01_2012-01-01,JPM,-28.776,-11.126,19.558,-0.656,-0.841,-35.759
Average,JPM,-28.776,-11.126,19.558,-0.656,-0.841,-35.759
2007-01-01_2009-01-01,RTN,38.504,11.936,18.099,0.550,0.729,-20.054
Average,RTN,38.504,11.936,18.099,0.550,0.729,-20.054
2004-01-01_2006-01-01,AAPL,-41.929,-17.150,18.896,-1.059,-1.544,-54.314
Average,AAPL,-41.929,-17.150,18.896,-1.059,-1.544,-54.314
2004-01-01_2006-01-01,XOM,5.500,1.871,10.690,-0.050,-0.061,-17.827
Average,XOM,5.500,1.871,10.690,-0.050,-0.061,-17.827
2014-01-01_2016-01-01,HPQ,50.218,15.126,14.900,0.821,1.228,-8.850
Average,HPQ,50.218,15.126,14.900,0.821,1.228,-8.850
2019-01-01_2021-01-01,CXO,29.528,9.356,33.910,0.346,0.476,-33.924
Average,CXO,29.528,9.356,33.910,0.346,0.476,-33.924
2014-01-01_2016-01-01,FSLR,-8.148,-2.899,18.811,-0.220,-0.293,-29.606
Average,FSLR,-8.148,-2.899,18.811,-0.220,-0.293,-29.606
2019-01-01_2021-01-01,TJX,122.084,31.760,21.393,1.256,2.012,-12.441
Average,TJX,122.084,31.760,21.393,1.256,2.012,-12.441
2016-01-01_2018-01-01,SJM,6.171,2.103,10.575,-0.029,-0.035,-24.778
Average,SJM,6.171,2.103,10.575,-0.029,-0.035,-24.778
2022-01-01_2024-01-01,EOG,125.760,32.716,19.084,1.424,2.161,-12.975
Average,EOG,125.760,32.716,19.084,1.424,2.161,-12.975
2007-01-01_2009-01-01,TRV,13.930,4.618,26.400,0.191,0.256,-19.002
2021-01-01_2023-01-01,TRV,42.636,13.138,12.332,0.823,1.209,-8.884
Average,TRV,28.283,8.878,19.366,0.507,0.733,-13.943
2005-01-01_2007-01-01,LNC,2.042,0.705,8.125,-0.237,-0.304,-9.313
Average,LNC,2.042,0.705,8.125,-0.237,-0.304,-9.313
2013-01-01_2015-01-01,AMP,4.990,1.700,12.150,-0.044,-0.058,-14.568
Average,AMP,4.990,1.700,12.150,-0.044,-0.058,-14.568
2005-01-01_2007-01-01,MERQ,-49.512,-22.756,28.308,-0.850,-0.867,-55.961
Average,MERQ,-49.512,-22.756,28.308,-0.850,-0.867,-55.961
2007-01-01_2009-01-01,CPB,-15.549,-5.682,16.617,-0.446,-0.533,-26.575
Average,CPB,-15.549,-5.682,16.617,-0.446,-0.533,-26.575
2017-01-01_2019-01-01,SYK,15.285,5.054,11.130,0.233,0.305,-8.610
Average,SYK,15.285,5.054,11.130,0.233,0.305,-8.610
2015-01-01_2017-01-01,AIV,-21.125,-7.886,12.324,-0.845,-1.071,-25.888
Average,AIV,-21.125,-7.886,12.324,-0.845,-1.071,-25.888
2022-01-01_2024-01-01,LKQ,31.001,9.841,15.717,0.488,0.687,-14.775
Average,LKQ,31.001,9.841,15.717,0.488,0.687,-14.775
2006-01-01_2008-01-01,ASN,15.303,5.833,12.363,0.281,0.371,-15.633
Average,ASN,15.303,5.833,12.363,0.281,0.371,-15.633
2011-01-01_2013-01-01,UNH,45.575,13.882,14.102,0.782,1.092,-16.770
Average,UNH,45.575,13.882,14.102,0.782,1.092,-16.770
2006-01-01_2008-01-01,RDC,65.033,18.964,20.247,0.813,1.109,-22.606
Average,RDC,65.033,18.964,20.247,0.813,1.109,-22.606
2022-01-01_2024-01-01,HSY,37.329,11.656,11.953,0.735,0.976,-9.619
Average,HSY,37.329,11.656,11.953,0.735,0.976,-9.619
Average,All,26.440,6.928,17.504,0.255,0.434,-21.691
