Period,ticker,annual_return (%),annual_volatility (%),sharpe_ratio,max_drawdown
2005-01-01_2007-01-01,CAT,14.8949,9.603,8.527,6.9456
2006-01-01_2008-01-01,CAT,6.7629,8.9167,1.4682,7.6881
2007-01-01_2009-01-01,CAT,-4.9673,16.6792,-0.6616,35.9017
2008-01-01_2010-01-01,CAT,6.39,23.7848,0.5057,34.1375
2009-01-01_2011-01-01,CAT,17.1139,19.82,7.3377,20.7289
2010-01-01_2012-01-01,CAT,6.9832,12.4361,1.4435,14.9413
2011-01-01_2013-01-01,CAT,-2.0801,11.8773,-0.5815,26.2893
2012-01-01_2014-01-01,CAT,-1.5278,9.2846,-0.3519,21.2384
2013-01-01_2015-01-01,CAT,-2.9373,6.4805,-1.6791,12.6168
2014-01-01_2016-01-01,CAT,-2.8148,9.0344,-2.3016,21.6484
2015-01-01_2017-01-01,CAT,0.3601,9.6598,0.6963,11.5661
2016-01-01_2018-01-01,CAT,2.6175,8.2663,5.4356,9.667
2017-01-01_2019-01-01,CAT,-1.6044,10.8212,-0.4567,21.6852
2018-01-01_2020-01-01,CAT,-2.202,12.5778,-0.748,20.8422
2019-01-01_2021-01-01,CAT,11.6698,14.1375,1.186,10.4696
2020-01-01_2022-01-01,CAT,12.5765,13.253,1.4585,10.2774
2021-01-01_2023-01-01,CAT,3.8203,11.6127,2.1503,16.5796
2022-01-01_2024-01-01,CAT,9.8893,13.9845,1.0671,16.5817
Average,CAT,4.7683,13.3703,1.7647,18.6596
2004-01-01_2006-01-01,NG,7.3409,20.1648,2.1255,31.1418
2005-01-01_2007-01-01,NG,17.4561,16.4528,3.1402,16.1394
2006-01-01_2008-01-01,NG,14.5623,15.5314,1.7806,15.7222
2007-01-01_2009-01-01,NG,-9.1462,21.9509,-0.3365,53.229
2008-01-01_2010-01-01,NG,46.1101,37.5058,0.8223,52.3706
2009-01-01_2011-01-01,NG,88.7034,34.4443,1.7888,30.4576
2010-01-01_2012-01-01,NG,54.629,24.1507,3.7547,30.4655
2011-01-01_2013-01-01,NG,25.8463,24.2396,0.8591,34.9737
2012-01-01_2014-01-01,NG,-4.9093,21.5693,-1.199,34.9735
2013-01-01_2015-01-01,NG,6.1498,23.6691,0.6895,24.5351
2014-01-01_2016-01-01,NG,12.8783,23.6016,3.7173,24.535
2015-01-01_2017-01-01,NG,24.7493,23.3638,1.3312,22.4734
2016-01-01_2018-01-01,NG,12.8778,22.0226,0.6305,24.476
2017-01-01_2019-01-01,NG,-3.8997,15.6946,-0.2802,32.4339
2018-01-01_2020-01-01,NG,13.9659,16.1013,2.3031,10.0811
2019-01-01_2021-01-01,NG,11.4535,20.565,2.0845,20.7976
2020-01-01_2022-01-01,NG,7.0869,20.8998,4.8642,20.7969
2021-01-01_2023-01-01,NG,-10.2112,20.3209,-0.6343,42.4911
2022-01-01_2024-01-01,NG,-15.9794,22.4077,-3.597,45.9205
Average,NG,16.0227,23.054,1.3479,30.8775
2004-01-01_2006-01-01,CZFS,-6.1592,8.6851,-2.4822,22.6429
2005-01-01_2007-01-01,CZFS,-3.5225,10.1582,-0.5639,16.9747
2006-01-01_2008-01-01,CZFS,1.0715,10.275,0.6896,16.6582
2007-01-01_2009-01-01,CZFS,-0.2573,12.8486,-0.472,13.1439
2008-01-01_2010-01-01,CZFS,0.7483,21.6278,1.6101,19.8338
2009-01-01_2011-01-01,CZFS,3.3178,21.5063,1.5655,19.8348
2010-01-01_2012-01-01,CZFS,5.0563,14.0031,4.3861,15.3952
2011-01-01_2013-01-01,CZFS,0.6412,10.4749,1.4506,17.5396
2012-01-01_2014-01-01,CZFS,0.7426,8.7609,1.39,8.8377
2013-01-01_2015-01-01,CZFS,-2.0482,9.2451,-0.6045,15.2166
2014-01-01_2016-01-01,CZFS,0.8114,7.8076,0.2487,11.799
2015-01-01_2017-01-01,CZFS,6.1834,8.5873,12.9486,5.4897
2016-01-01_2018-01-01,CZFS,5.7878,8.8153,10.3741,5.4894
2017-01-01_2019-01-01,CZFS,5.6237,6.5306,2.3159,3.2101
2018-01-01_2020-01-01,CZFS,6.0116,8.6377,3.4957,7.5895
2019-01-01_2021-01-01,CZFS,9.3437,13.6196,5.6071,10.8287
2020-01-01_2022-01-01,CZFS,6.1522,12.4623,1.3144,10.8303
2021-01-01_2023-01-01,CZFS,1.4772,12.9761,1.8109,13.4402
2022-01-01_2024-01-01,CZFS,12.9816,16.655,1.2652,17.0109
Average,CZFS,3.6835,12.9858,2.5104,14.8759
