Period,ticker,annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2004-01-01_2006-01-01,CW,-0.3148,11.9277,-0.2801,-0.1104,-12.955
2005-01-01_2007-01-01,CW,-0.3713,7.7123,-0.4827,-0.2179,-8.7766
2006-01-01_2008-01-01,CW,4.388,15.4188,0.0506,0.1116,-11.4185
2007-01-01_2009-01-01,CW,-3.4983,9.7791,-0.6293,-0.2986,-16.236
2008-01-01_2010-01-01,CW,-1.6603,2.0403,-2.4477,-0.7054,-5.0885
2009-01-01_2011-01-01,CW,-4.7524,4.6009,-1.632,-0.4843,-10.6519
2010-01-01_2012-01-01,CW,-5.7726,8.5293,-0.9576,-0.2977,-18.1686
2011-01-01_2013-01-01,CW,2.6344,8.2957,-0.1524,-0.0012,-9.1825
2012-01-01_2014-01-01,CW,27.4863,12.2577,1.3514,2.2864,-6.2752
2013-01-01_2015-01-01,CW,9.9003,11.1787,0.4014,0.4849,-12.3273
2014-01-01_2016-01-01,CW,-4.3214,5.5585,-1.2785,-0.4862,-8.1934
2015-01-01_2017-01-01,CW,14.0591,9.7858,0.7534,0.8958,-4.9249
2016-01-01_2018-01-01,CW,15.5148,8.2437,1.0023,1.0675,-4.5087
2017-01-01_2019-01-01,CW,6.5415,9.2109,0.1968,0.2955,-14.8102
2018-01-01_2020-01-01,CW,0.8185,5.4348,-0.5298,-0.2769,-6.2395
2019-01-01_2021-01-01,CW,2.504,8.7586,-0.1535,-0.0104,-5.8099
2020-01-01_2022-01-01,CW,-2.0163,10.1699,-0.4807,-0.2798,-11.1575
2021-01-01_2023-01-01,CW,-7.1041,10.2702,-0.895,-0.7085,-20.462
2022-01-01_2024-01-01,CW,10.2726,9.0638,0.5047,0.6198,-7.2595
Average,CW,3.3846,8.8546,-0.2978,0.0992,-10.234
2004-01-01_2006-01-01,PII,10.4864,9.9616,0.4835,0.4577,-5.5361
2005-01-01_2007-01-01,PII,0.0,0.0,0.0,0.0,-0.0
2006-01-01_2008-01-01,PII,1.3352,8.2765,-0.2792,-0.0967,-7.7952
