Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2010-01-01_2012-01-01,LM,44.294,13.879,25.590,0.512,0.793,-28.212
Average,LM,44.294,13.879,25.590,0.512,0.793,-28.212
2011-01-01_2013-01-01,MCK,19.571,6.512,12.316,0.325,0.528,-13.846
Average,MCK,19.571,6.512,12.316,0.325,0.528,-13.846
2016-01-01_2018-01-01,WY,15.052,5.095,11.389,0.226,0.352,-12.451
Average,WY,15.052,5.095,11.389,0.226,0.352,-12.451
2019-01-01_2021-01-01,CB,27.152,8.835,22.898,0.352,0.463,-40.696
Average,CB,27.152,8.835,22.898,0.352,0.463,-40.696
2010-01-01_2012-01-01,BXP,39.923,12.644,14.509,0.678,1.079,-9.359
Average,BXP,39.923,12.644,14.509,0.678,1.079,-9.359
2018-01-01_2020-01-01,BIIB,43.309,13.542,24.808,0.500,1.037,-22.543
Average,BIIB,43.309,13.542,24.808,0.500,1.037,-22.543
2009-01-01_2011-01-01,PCAR,139.546,36.114,22.206,1.350,2.329,-15.412
2011-01-01_2013-01-01,PCAR,16.129,5.419,13.152,0.235,0.384,-19.176
Average,PCAR,77.837,20.767,17.679,0.792,1.357,-17.294
2014-01-01_2016-01-01,FFIV,-12.289,-4.522,12.691,-0.533,-0.698,-19.601
Average,FFIV,-12.289,-4.522,12.691,-0.533,-0.698,-19.601
2020-01-01_2022-01-01,CFG,41.946,13.140,37.766,0.435,0.616,-57.325
Average,CFG,41.946,13.140,37.766,0.435,0.616,-57.325
2022-01-01_2024-01-01,DXCM,15.033,5.089,22.447,0.196,0.297,-20.939
Average,DXCM,15.033,5.089,22.447,0.196,0.297,-20.939
2012-01-01_2014-01-01,KMB,10.630,3.630,7.291,0.111,0.154,-10.160
Average,KMB,10.630,3.630,7.291,0.111,0.154,-10.160
2011-01-01_2013-01-01,MO,13.776,4.661,8.449,0.222,0.319,-8.316
Average,MO,13.776,4.661,8.449,0.222,0.319,-8.316
2010-01-01_2012-01-01,JPM,8.561,2.954,21.361,0.100,0.153,-20.160
Average,JPM,8.561,2.954,21.361,0.100,0.153,-20.160
2007-01-01_2009-01-01,RTN,38.485,12.178,18.569,0.544,0.792,-23.941
