Period,ticker,annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2013-01-01_2015-01-01,CW,29.6458,19.94,1.2534,1.6889,-16.2448
2014-01-01_2016-01-01,CW,3.6497,18.7664,0.127,0.1579,-19.3845
2015-01-01_2017-01-01,CW,13.0049,18.6379,0.5901,0.7764,-19.4162
2016-01-01_2018-01-01,CW,21.5143,16.9911,1.0577,1.307,-21.811
2017-01-01_2019-01-01,CW,1.6599,18.1833,0.0189,0.0186,-31.3231
2018-01-01_2020-01-01,CW,5.3025,19.6609,0.2107,0.2407,-31.313
2019-01-01_2021-01-01,CW,4.8964,35.2884,0.2294,0.2355,-48.5397
2020-01-01_2022-01-01,CW,-0.3736,36.2932,0.0909,0.0976,-48.3108
2021-01-01_2023-01-01,CW,13.1274,22.362,0.531,0.6742,-20.2692
2022-01-01_2024-01-01,CW,17.8466,20.7166,0.7533,0.9515,-20.4211
Average,CW,8.5951,24.8185,0.3994,0.5036,-30.4143
2004-01-01_2006-01-01,PHX,40.2811,41.2788,0.9556,1.0718,-31.9859
2005-01-01_2007-01-01,PHX,19.8909,35.9498,0.6007,0.7692,-31.8431
2006-01-01_2008-01-01,PHX,9.3599,27.4544,0.3549,0.4167,-23.9425
2007-01-01_2009-01-01,PHX,1.102,61.2224,0.2715,0.2929,-62.3238
2008-01-01_2010-01-01,PHX,0.5424,76.709,0.346,0.4319,-66.3836
2009-01-01_2011-01-01,PHX,14.1052,48.5229,0.4509,0.5956,-38.5432
2010-01-01_2012-01-01,PHX,8.098,40.4573,0.3201,0.4279,-29.1971
2011-01-01_2013-01-01,PHX,0.6394,36.5565,0.119,0.1484,-32.8736
2012-01-01_2014-01-01,PHX,1.2974,29.3345,0.0896,0.1117,-25.8965
2013-01-01_2015-01-01,PHX,16.6113,37.2334,0.518,0.6115,-51.5546
2014-01-01_2016-01-01,PHX,-1.1634,43.9972,0.1249,0.1539,-58.8137
2015-01-01_2017-01-01,PHX,2.6781,39.0909,0.1866,0.2494,-49.9182
2016-01-01_2018-01-01,PHX,8.1117,35.6772,0.3128,0.4368,-35.0177
2017-01-01_2019-01-01,PHX,-13.1324,30.6553,-0.4035,-0.5723,-41.8831
2018-01-01_2020-01-01,PHX,-18.4971,27.7701,-0.7045,-0.949,-51.355
2019-01-01_2021-01-01,PHX,-48.2224,57.0092,-0.9238,-1.1484,-90.9556
2020-01-01_2022-01-01,PHX,-41.8779,68.2151,-0.5005,-0.6926,-86.465
2021-01-01_2023-01-01,PHX,20.4133,58.3749,0.5594,0.7749,-49.7375
2022-01-01_2024-01-01,PHX,14.9756,46.2668,0.4696,0.6124,-48.754
Average,PHX,1.8533,44.304,0.1656,0.197,-47.7602
2004-01-01_2006-01-01,CAT,12.8914,20.1892,0.5556,0.622,-17.1883
2005-01-01_2007-01-01,CAT,11.6051,22.1831,0.4746,0.4699,-26.6484
2006-01-01_2008-01-01,CAT,8.6567,21.2833,0.3591,0.3726,-27.2321
2007-01-01_2009-01-01,CAT,-8.6801,32.695,-0.2053,-0.2337,-60.9621
2008-01-01_2010-01-01,CAT,-4.3877,42.0904,0.0321,0.0403,-72.6682
2009-01-01_2011-01-01,CAT,30.9685,34.2529,0.8717,1.1134,-50.091
2010-01-01_2012-01-01,CAT,18.1581,28.8304,0.6204,0.747,-38.6046
2011-01-01_2013-01-01,CAT,0.1824,26.6304,0.029,0.0335,-38.4559
2012-01-01_2014-01-01,CAT,0.6503,18.3947,-0.0337,-0.0434,-31.02
2013-01-01_2015-01-01,CAT,0.9794,15.5302,-0.0502,-0.0626,-18.6351
2014-01-01_2016-01-01,CAT,-6.8146,18.9616,-0.4333,-0.5063,-40.3718
2015-01-01_2017-01-01,CAT,3.0784,21.7845,0.1122,0.1371,-33.7549
2016-01-01_2018-01-01,CAT,38.0969,19.5659,1.5966,2.0609,-12.5872
2017-01-01_2019-01-01,CAT,13.3111,22.5535,0.5359,0.5862,-33.0207
2018-01-01_2020-01-01,CAT,-0.3945,24.8195,-0.0104,-0.0136,-33.0973
2019-01-01_2021-01-01,CAT,15.9424,30.4837,0.5419,0.5781,-38.2877
2020-01-01_2022-01-01,CAT,13.8614,29.936,0.4854,0.5367,-37.386
2021-01-01_2023-01-01,CAT,11.8136,24.6805,0.4555,0.5884,-31.646
2022-01-01_2024-01-01,CAT,12.8254,25.7002,0.4823,0.6054,-30.0634
Average,CAT,9.0918,25.2929,0.3379,0.4017,-35.3537
2004-01-01_2006-01-01,SRL,7.2175,32.8086,0.2837,0.4017,-38.3437
2005-01-01_2007-01-01,SRL,27.9647,30.1821,0.8686,1.1162,-24.5699
2006-01-01_2008-01-01,SRL,41.4386,33.6862,1.1102,1.2681,-39.8833
2007-01-01_2009-01-01,SRL,-18.2782,56.2372,-0.1137,-0.109,-85.1169
2008-01-01_2010-01-01,SRL,-24.2234,61.1353,-0.1812,-0.1856,-80.8852
2009-01-01_2011-01-01,SRL,-2.1295,40.9893,0.0824,0.089,-51.6152
2010-01-01_2012-01-01,SRL,-10.5628,31.1066,-0.297,-0.3218,-54.621
2011-01-01_2013-01-01,SRL,5.494,21.6992,0.2173,0.3063,-28.1153
2012-01-01_2014-01-01,SRL,6.5748,20.3073,0.2686,0.3532,-27.3861
2013-01-01_2015-01-01,SRL,-4.9147,22.7564,-0.239,-0.3192,-46.1608
2014-01-01_2016-01-01,SRL,-37.5948,39.0699,-1.0855,-1.2239,-80.9601
2015-01-01_2017-01-01,SRL,-35.1913,46.7579,-0.7557,-0.9124,-77.6828
2016-01-01_2018-01-01,SRL,-7.0229,38.9483,-0.0685,-0.0818,-42.3198
2017-01-01_2019-01-01,SRL,-20.4336,32.2315,-0.6424,-0.7515,-62.4305
2018-01-01_2020-01-01,SRL,18.3,42.639,0.5216,0.8118,-46.3688
2019-01-01_2021-01-01,SRL,-8.7704,48.4014,-0.0205,-0.0283,-75.8701
2020-01-01_2022-01-01,SRL,-8.856,52.7952,0.0173,0.0239,-67.6353
2021-01-01_2023-01-01,SRL,20.9803,47.125,0.5608,0.9571,-49.8518
2022-01-01_2024-01-01,SRL,-7.9143,46.237,-0.0248,-0.0376,-57.0831
Average,SRL,-3.0485,39.2165,0.0264,0.0714,-54.5737
2004-01-01_2006-01-01,CZFS,-2.2985,15.1983,-0.2721,-0.2711,-20.8906
2005-01-01_2007-01-01,CZFS,0.6705,24.1934,0.0248,0.0238,-21.1306
2006-01-01_2008-01-01,CZFS,1.9121,27.5156,0.0976,0.0974,-17.3687
2007-01-01_2009-01-01,CZFS,-1.4036,27.9794,-0.0176,-0.0179,-23.6691
2008-01-01_2010-01-01,CZFS,13.547,33.6523,0.457,0.3849,-25.8244
2009-01-01_2011-01-01,CZFS,29.0345,32.646,0.8536,0.7109,-11.9509
2010-01-01_2012-01-01,CZFS,13.4014,25.114,0.508,0.4781,-17.8594
2011-01-01_2013-01-01,CZFS,8.2833,20.1212,0.3483,0.3309,-17.8193
2012-01-01_2014-01-01,CZFS,21.8586,18.6886,0.9926,0.9351,-8.477
2013-01-01_2015-01-01,CZFS,13.5976,19.3437,0.6024,0.4709,-11.8486
2014-01-01_2016-01-01,CZFS,0.9377,16.9246,-0.0356,-0.0299,-17.2199
2015-01-01_2017-01-01,CZFS,2.8624,14.7178,0.0636,0.0642,-13.0353
2016-01-01_2018-01-01,CZFS,11.8593,15.3018,0.6151,0.5666,-7.3303
2017-01-01_2019-01-01,CZFS,5.213,12.3455,0.2335,0.1785,-13.2647
2018-01-01_2020-01-01,CZFS,1.7854,13.4214,-0.0217,-0.0189,-13.2516
2019-01-01_2021-01-01,CZFS,1.8867,23.1835,0.0709,0.0468,-40.551
